"Table 1: 2003 Poverty and Median Income Estimates - Counties                             Source: U.S. Census Bureau, Small Area Estimates Branch                              Release date: 10.02.2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State FIPS,County FIPS,Postal Code,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
00,000,US,United States,"35,861,170","35,190,401","36,531,939",12.5,12.2,12.7,"12,865,806","12,519,657","13,211,955",17.6,17.2,18.1,"8,399,573","8,111,130","8,688,016",16.1,15.5,16.6,"43,318","43,009","43,627","4,021,366","3,817,517","4,225,215",20.3,19.3,21.4
01,000,AL,Alabama,"677,455","644,647","710,263",15.3,14.5,16.0,"243,658","227,912","259,403",22.3,20.9,23.8,"165,578","153,639","177,517",21.0,19.5,22.5,"36,131","34,659","37,602","72,477","62,361","82,594",24.7,21.3,28.2
01,001,AL,Autauga County,"4,926","3,815","6,038",10.4,8.1,12.7,"1,891","1,423","2,359",15.1,11.3,18.8,"1,347",967,"1,727",14.4,10.3,18.4,"44,241","41,547","47,109",,,,,,
01,003,AL,Baldwin County,"15,753","12,234","19,273",10.1,7.9,12.4,"5,550","4,169","6,932",15.6,11.7,19.5,"3,694","2,659","4,729",14.1,10.1,18.0,"41,961","39,479","44,600",,,,,,
01,005,AL,Barbour County,"5,717","4,411","7,022",22.2,17.1,27.3,"2,083","1,557","2,609",30.5,22.8,38.2,"1,446","1,036","1,856",29.5,21.1,37.9,"26,062","24,432","27,801",,,,,,
01,007,AL,Bibb County,"3,383","2,619","4,148",16.8,13.0,20.6,"1,237",925,"1,548",23.7,17.7,29.7,874,626,"1,122",23.2,16.6,29.8,"32,924","30,916","35,062",,,,,,
01,009,AL,Blount County,"6,503","5,041","7,965",11.9,9.2,14.6,"2,272","1,702","2,841",17.3,13.0,21.7,"1,594","1,147","2,041",16.5,11.9,21.1,"37,758","35,473","40,191",,,,,,
01,011,AL,Bullock County,"2,569","1,915","3,224",26.5,19.7,33.2,881,639,"1,123",32.6,23.6,41.5,640,443,837,32.7,22.7,42.8,"20,903","19,497","22,409",,,,,,
01,013,AL,Butler County,"4,118","3,178","5,059",20.0,15.5,24.6,"1,540","1,152","1,927",30.3,22.7,38.0,"1,079",773,"1,385",29.2,20.9,37.5,"26,951","25,282","28,730",,,,,,
01,015,AL,Calhoun County,"18,095","14,158","22,032",16.4,12.8,19.9,"6,250","4,741","7,760",24.5,18.6,30.4,"4,197","3,055","5,339",23.1,16.8,29.4,"33,137","31,191","35,205",,,,,,
01,017,AL,Chambers County,"5,725","4,420","7,029",16.3,12.6,20.0,"2,020","1,510","2,530",24.0,17.9,30.0,"1,375",983,"1,767",22.2,15.9,28.5,"30,844","28,954","32,858",,,,,,
